beta,gamma,rho,source_distance,kernel_weight
0.15294859035347402,0.08359048014899352,0.30168911031003803,0.205735894069846,0.7180586367485268
0.1575255569017882,0.08225133298932824,0.30698684508302154,0.2073157592428237,0.7175661917832206
0.15223099357048794,0.07988600493554852,0.30074603073604844,0.207454203818651,0.717522859002983
0.1533491857277931,0.07984800684391595,0.3047054709882452,0.2093916595351539,0.7169134054795168
0.15542756041895453,0.08297983276023882,0.3081459113453013,0.209440832479415,0.7168978637305501
0.15419742472034426,0.07890342642251373,0.2997481489272533,0.2095321776177469,0.7168689832246767
0.1547674216026083,0.084272569901152,0.3058619670770464,0.2113864174776013,0.716280007580029
0.15329786188412284,0.0809919588739453,0.30454051574689595,0.2120437223772336,0.716069977281889
0.15396232832899204,0.08010210765545416,0.30391515228454863,0.2123866673532781,0.7159601363449565
0.15937982419378618,0.08411896619991717,0.3122116259553674,0.2132138463529894,0.7156944709701073
0.15359275603022013,0.08080168931786146,0.3062327476673964,0.2133582297153687,0.7156479934566496
0.15804889876993294,0.08245689224129836,0.30510038526633576,0.2156123789621302,0.7149182948522455
0.15232733783891256,0.08224035369385362,0.3069451645969961,0.2173421753599839,0.7143531358989401
0.14832947782062791,0.08413194369952026,0.30134447274758913,0.2180770829073341,0.7141116600772892
0.15607574169531646,0.0805713402693684,0.3078052956070433,0.2184585156351686,0.7139860076361402
0.15321872756932017,0.08211553821953599,0.3001972048222973,0.2186462452649324,0.71392408468131
0.15249470897673492,0.08007101231324303,0.30320950097767013,0.2203668138147676,0.7133540743454995
0.15687356713161685,0.08063090068753212,0.3071355563494345,0.2205746882743354,0.7132849047204199
0.15392031048321378,0.08153320531335068,0.3021070768690577,0.2210868958705076,0.713114190793684
0.15454476521199453,0.08410939194989117,0.3039588286699829,0.2216900215924364,0.7129126670908807
0.15063920260297495,0.08081973249662787,0.30119440445003454,0.2222447373033844,0.712726834052314
0.1510490847738947,0.07942773523477116,0.30134183108220675,0.222574187976396,0.7126162463163713
0.15554172938180869,0.08118059120331188,0.30504243760701977,0.2227696824820925,0.7125505466223799
0.15309219512557595,0.08105849924194498,0.30157837981397534,0.2234406101773804,0.7123246297771969
0.14618149895241284,0.07978619786485838,0.29371828786485055,0.2251261880722871,0.7117540593430706
0.15037297487631532,0.0791449136263365,0.30163230553755244,0.2251681977440832,0.7117397842439597
0.15909402622573476,0.08449640276172633,0.303538564387841,0.2255386173464358,0.7116137985021286
0.15176823151523375,0.08011739822329829,0.30379950433049513,0.2256057607848633,0.7115909397541794
0.1504604271403194,0.08059393139889352,0.29859690611158196,0.226606177258755,0.7112495455301034
0.15207067347900552,0.08089515657041733,0.3012874023893467,0.2275071058256461,0.7109408091024851
0.15673163773537663,0.08158662534527875,0.3092004410596582,0.2290326438357157,0.7104152338100971
0.1531476332826381,0.08108100147382716,0.3038026100969444,0.2301261224786284,0.7100363496085333
0.15331787210889067,0.07897954874399513,0.30218057070815396,0.2333808390949574,0.7088979289876057
0.15219735854010688,0.08433842913971493,0.30200436577210804,0.234650123544274,0.7084496309317583
0.15420012781123155,0.08274747219569385,0.306248463657399,0.2364626164288053,0.7078052621816311
0.15634105908483967,0.08409515033190805,0.3081377279349868,0.2384262760866574,0.7071015557166485
0.15496130067572586,0.08208891760558136,0.3044194991497188,0.2390029974703687,0.7068937734832601
0.15977109345696897,0.08090842424514458,0.307865442270713,0.2390729562008771,0.7068685344839711
0.15552988289290193,0.08128639208594078,0.3078735176102249,0.2393015460954546,0.7067860146468568
0.15284881924279387,0.08295301797432685,0.3069547997681223,0.23940569433557,0.7067483914891326
0.15371686674466858,0.07988065148855633,0.3020575170244247,0.2432167286880902,0.7053604100116452
0.1578184679754258,0.08529628833436846,0.30690846859852133,0.2449879486942976,0.7047078690835743
0.15189028807029684,0.07943372685376113,0.29658429180425483,0.2452008478502317,0.7046291154443094
0.15151679198160883,0.08205130560897736,0.29974603382526593,0.245419266564885,0.7045482489701819
