beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1668033047455717,0.0890707830346178,0.3205325931626036,0.2689922907535458,0.6491250000000001,8.5,10.331125,67.275,102.425,5.25,542.075,0.9378109452736318
0.1665930155356121,0.0864398840497799,0.2991046546015767,0.2699095273483302,0.648875,8.4,10.501749999999998,71.45,96.375,5.3,501.3,0.9398009950248756
0.1550766688914215,0.0841964900583513,0.3290131724747554,0.2699819544552052,0.6495,9.1,10.92475,74.575,104.225,5.725,590.35,0.934452736318408
0.1452790686338973,0.079535987105869,0.2708621281052678,0.2700495447640886,0.651,8.85,11.391875,74.325,89.075,5.45,495.225,0.934825870646766
0.1720975245045292,0.0833034497813967,0.308007767592457,0.2702071069351931,0.6665000000000001,8.3,10.851125,74.525,100.5,5.225,509.625,0.9412935323383084
0.1545638569578629,0.072913158419311,0.2998154524011447,0.2702826441050323,0.6877500000000001,8.675,12.635374999999998,80.675,103.925,5.45,530.85,0.9366915422885572
0.1528299609746626,0.0886255920394093,0.316059694078793,0.2705169808833947,0.631875,8.925,10.273374999999998,71.35,101.4,5.65,573.95,0.932587064676617
0.1606496834083311,0.0898827699287319,0.3142956413042821,0.2723752877846721,0.6347499999999999,8.75,10.092249999999998,67.075,98.8,5.7,541.95,0.935820895522388
0.1649392632669131,0.0841368969182315,0.3060521059786405,0.2727970076067363,0.662875,8.3,10.826125,69.95,101.175,5.225,522.125,0.941044776119403
0.1506172376496149,0.0908073035730446,0.311405371961825,0.2733005516325494,0.640125,9.075,10.339,69.1,101.175,5.775,565.7,0.9347014925373134
0.160877314376007,0.080238223798307,0.332673252382642,0.2734951790842498,0.659375,8.7,11.183624999999996,70.9,109.1,5.375,581.3,0.9374378109452736
0.147592200708077,0.0787897090835047,0.3100264263662662,0.2745024062290901,0.6523749999999999,9.2,11.521499999999998,75.75,98.175,5.925,576.5,0.9335820895522386
0.1650294283905272,0.0915455730886959,0.3034179490923864,0.2746305000785293,0.6455,8.575,10.029875,67.525,96.95,5.475,514.275,0.9378109452736318
0.1548381299181109,0.0866212899017208,0.2904360562145614,0.2749404816946663,0.63475,8.875,10.530625,66.4,96.85,5.575,518.65,0.93818407960199
0.15207296890894,0.0709046382967995,0.2951874445168053,0.2752022051979266,0.6981249999999999,8.775,13.0685,77.4,99.2,5.5,539.875,0.9393034825870646
0.167750618103066,0.07300336169747,0.3306450725306079,0.275207090197442,0.6855,8.5,12.307125,75.4,107.5,5.6,563.825,0.9399253731343282
0.1436913582954895,0.0726322695992026,0.3047407912828144,0.2754080401660784,0.6766249999999999,9.05,12.543875,76.95,101.875,5.75,582.05,0.9345771144278608
0.1553425952396965,0.0750499460305463,0.2981878741752465,0.2762184502539284,0.677875,8.825,12.260125,83.5,99.85,5.65,548.025,0.9338308457711442
0.160727791662443,0.0861933630516875,0.3370228240501806,0.2764076742975668,0.643,8.825,10.618624999999998,70.475,105.45,5.65,587.15,0.934825870646766
0.1435565206740051,0.0788502539132301,0.2704475197093103,0.2766374709885589,0.646375,9.05,11.5185,73.275,88.725,5.525,499.225,0.9354477611940298
0.1462364798834086,0.0789951864094666,0.2806286886701464,0.2770432295310026,0.6679999999999999,9.225,11.662125,77.125,92.775,5.85,526.025,0.9328358208955224
