beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.13975729746347682,0.09628802550004818,0.2604668960542216,0.7281436445647396,0.59475,9.625,9.512125000000001,62.825,82.25,6.15,490.7,0.928731343283582,0.001020666466518832,4,0.9028721458215555
0.18709238149214857,0.10199647087351207,0.40437408371197614,0.8191286773744169,0.6168750000000001,8.375,8.784874999999998,62.875,124.05,5.575,662.8,0.9407960199004975,0.000956466793185808,4,0.9028721458215555
0.1640548672455414,0.07622952991415576,0.3000674620694682,0.3882924443250039,0.686625,8.25,12.31625,82.625,101.2,5.1,501.85,0.9394278606965173,0.0009953225735166882,4,0.9028721458215555
0.13181031951877026,0.09253891464560837,0.22440872087063246,0.7996702528172809,0.5995,9.475,10.004749999999998,70.45,74.325,5.9,440.325,0.9257462686567164,0.001093963014499933,4,0.9028721458215555
0.18015699172524846,0.1079274116281336,0.3063689486747839,0.8577315222150678,0.6128750000000001,7.575,8.241624999999999,54.325,96.475,4.75,467.125,0.9411691542288558,0.0008405134741808941,4,0.9028721458215555
0.14317943886385265,0.10471456821188982,0.283358860726578,0.8692475311347714,0.55975,9.7,8.323375,56.65,85.05,6.0,525.975,0.9269900497512438,0.001011163552290381,4,0.9028721458215555
0.15761136179424998,0.0619338069973593,0.2560000750101449,0.8695297708284775,0.73375,8.325,15.278125,94.025,91.125,5.075,447.1,0.942412935323383,0.0011731484367526084,4,0.9028721458215555
0.16616798081634748,0.08924861588238499,0.28093255461558486,0.4999141675918293,0.647375,8.275,10.137624999999998,68.95,87.15,5.075,463.8,0.9407960199004975,0.0009077986441564634,4,0.9028721458215555
0.16914977008168428,0.10328177132429414,0.2682314344686575,0.8185692731581847,0.6119999999999999,7.975,8.754375,59.7,84.7,4.75,436.175,0.9406716417910449,0.0008859556952140435,4,0.9028721458215555
0.1399279206588348,0.08980052146830309,0.2778189756501125,0.5060911550598471,0.61875,9.375,10.129499999999998,65.85,90.325,5.975,525.05,0.9283582089552238,0.0010461477911180728,4,0.9028721458215555
0.15866794364361617,0.06397193556989272,0.34072843967616656,0.6893815397910205,0.716,9.15,14.130374999999997,87.925,113.925,5.9,619.375,0.9379353233830845,0.0012596816831734173,4,0.9028721458215555
0.17689610573583384,0.11335588661293264,0.3368667250150074,0.7435627303257453,0.583625,8.425,7.750249999999999,53.7,102.9,5.425,555.7,0.9347014925373134,0.0008582854113168196,4,0.9028721458215555
0.2013471428688978,0.09092038122702395,0.3763141833868508,0.7930686068237577,0.670625,7.425,10.0335,66.2,120.9,4.725,564.05,0.9490049751243781,0.000900042514883874,4,0.9028721458215555
